battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-30-0854,RANKED MATCH,honda,sagat,1392,1389,WIN,"[5,1]",FWJSR47Y7,5
2025-12-30-0853,RANKED MATCH,honda,sagat,1384,1397,WIN,"[1,-1,1]",FFAV969VB,6
2025-12-30-0848,RANKED MATCH,honda,jp,1376,1394,WIN,"[1,1]",DRFKAUC9T,6
2025-12-30-0846,RANKED MATCH,honda,jp,1367,1403,WIN,"[1,1]",VDQ34KVM5,6
2025-12-30-0844,RANKED MATCH,honda,jp,1374,1396,LOSE,"[1,-1,-1]",KBB7MRPJX,6
2025-12-30-0840,RANKED MATCH,honda,lily,1368,1301,WIN,"[1,1]",8V7N8NRXP,6
2025-12-30-0838,RANKED MATCH,honda,gouki,1361,1315,WIN,"[1,-6,1]",NRYHUTNTD,6
2025-12-30-0836,RANKED MATCH,honda,gouki,1370,1306,LOSE,"[-5,-1]",3C4UGCGM6,6
2025-12-30-0834,RANKED MATCH,honda,gouki,1363,1313,WIN,"[1,-7,1]",BU3PKUSA4,6
2025-12-30-0830,RANKED MATCH,zangief,cviper,0,0,LOSE,"[-1,-1]",D9XH6MLWD,6
2025-12-30-0828,RANKED MATCH,zangief,cviper,0,0,LOSE,"[-1,7,-1]",MX5SNS9HT,6
2025-12-30-0824,RANKED MATCH,terry,luke,1370,1380,LOSE,"[-1,-1]",V8JBNQTFB,7
2025-12-30-0823,RANKED MATCH,terry,luke,1378,1372,LOSE,"[-1,-6]",GHPTHX77Y,7
2025-12-30-0820,RANKED MATCH,gouki,elena,1256,1285,LOSE,"[1,-7,-1]",DX3NUK3H4,7
2025-12-30-0817,RANKED MATCH,gouki,elena,1264,1277,LOSE,"[-1,-1]",MPDLCPWJ5,7
2025-12-30-0816,RANKED MATCH,gouki,elena,1255,1286,WIN,"[-1,1,5]",8X7DTS4A3,7
2025-12-30-0813,RANKED MATCH,gouki,gouki,1263,1277,LOSE,"[-1,-6]",HN7MBRVGA,7
2025-12-30-0811,RANKED MATCH,gouki,gouki,1271,1269,LOSE,"[-1,-6]",9R3MGUXRN,7
2025-12-30-0810,RANKED MATCH,gouki,gouki,1263,1277,WIN,"[1,8]",NWQC3RCJW,7
2025-12-30-0808,RANKED MATCH,gouki,rashid,1255,1264,WIN,"[1,1]",TA8Y3SGSD,7
2025-12-30-0805,RANKED MATCH,gouki,ken,1263,1284,LOSE,"[-1,-5]",LN9CRRCQB,7
2025-12-30-0804,RANKED MATCH,gouki,ken,1271,1276,LOSE,"[-1,-1]",AHKPDN8BR,8
2025-12-30-0802,RANKED MATCH,gouki,ken,1263,1284,WIN,"[6,1]",YEJH5APD4,8
2025-12-30-0800,RANKED MATCH,gouki,ryu,1255,1238,WIN,"[-1,1,1]",EDEEJ9FR9,8
2025-12-30-0758,RANKED MATCH,gouki,ryu,1247,1246,WIN,"[1,-1,1]",47YF7XR9Q,8
2025-12-30-0755,RANKED MATCH,jamie,ryu,1345,1367,LOSE,"[-1,1,-5]",WQYGMCQ99,8
2025-12-30-0752,RANKED MATCH,jamie,ryu,1353,1359,LOSE,"[-1,-1]",T8EWPDN4E,8
2025-12-30-0748,RANKED MATCH,guile,elena,1432,1392,WIN,"[-1,1,1]",HMGKH4UQX,8
2025-12-30-0745,RANKED MATCH,guile,juri,1425,1382,WIN,"[1,1]",K5BMPQ96C,8
2025-12-30-0743,RANKED MATCH,guile,juri,1418,1389,WIN,"[5,1]",KQLLC5KGB,8
2025-12-30-0741,RANKED MATCH,guile,terry,1411,1359,WIN,"[1,1]",4C6A4LGKQ,8
2025-12-30-0739,RANKED MATCH,guile,terry,1404,1366,WIN,"[1,-1,1]",6HLGGRS8M,9
2025-12-30-0736,RANKED MATCH,guile,marisa,1395,1418,WIN,"[1,-2,1]",BRQPYARHA,9
2025-12-30-0733,RANKED MATCH,luke,rashid,1392,1292,LOSE,"[-1,1,-1]",9PYQVPCVG,9
2025-12-30-0730,RANKED MATCH,luke,rashid,1403,1281,LOSE,"[-8,-1]",XCVVUBGV8,9
2025-12-30-0728,RANKED MATCH,luke,rashid,1397,1287,WIN,"[1,6]",47TYXTGMT,9
2025-12-30-0725,RANKED MATCH,jp,mai,1401,1380,LOSE,"[-1,-6]",9QMKSHAE8,9
2025-12-30-0722,RANKED MATCH,marisa,ryu,1361,1396,LOSE,"[-1,1,-7]",BM34CQVBW,9
2025-12-30-0720,RANKED MATCH,marisa,ryu,1369,1388,LOSE,"[-1,1,-1]",XN37JYLKD,9
2025-12-30-0717,RANKED MATCH,marisa,gouki,1362,1316,WIN,"[-1,1,6]",EWEWPD8LL,9
2025-12-30-0715,RANKED MATCH,marisa,gouki,1355,1323,WIN,"[-1,1,1]",LL4WF3HED,9
2025-12-30-0712,RANKED MATCH,ken,ed,1322,1372,LOSE,"[-1,-7]",G99EUCQYD,10
2025-12-30-0710,RANKED MATCH,ken,ed,1329,1365,LOSE,"[-1,-1]",GT6LA7NPY,10
2025-12-30-0707,RANKED MATCH,ryu,manon,1352,1357,LOSE,"[1,-1,-5]",5YFHVGCCB,10
2025-12-30-0705,RANKED MATCH,ryu,manon,1360,1349,LOSE,"[-1,-6]",7SHAPP7VY,10
2025-12-30-0702,RANKED MATCH,gouki,lily,1255,1255,LOSE,"[-5,-1]",BDG84KUDL,10
2025-12-30-0700,RANKED MATCH,gouki,lily,1247,1263,WIN,"[1,1]",A6PX59UHH,10
2025-12-30-0659,RANKED MATCH,gouki,lily,1255,1255,LOSE,"[1,-1,-1]",6Q958TM76,10
2025-12-30-0655,RANKED MATCH,guile,zangief,1403,1423,LOSE,"[-1,-6]",3U4UPLDAM,10
2025-12-30-0654,RANKED MATCH,guile,zangief,1411,1415,LOSE,"[-8,6,-1]",BHYAGVEN8,10
2025-12-30-0652,RANKED MATCH,guile,zangief,1402,1424,WIN,"[1,1]",4DFNEEDRU,10
